customer_id,month_bucket,activity_id,category,sub_category,channel,owner_type,reason_codes
C001,2024-01,COM_STO_020,Community & Connections,Customer Stories / Advocacy,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-01,ELL_LEARN_004,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-01,LOY_EVT_013,"Loyalty, Rewards & Access",Customer Day / Branch Events,Branch,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-01,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-01,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-02,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-03,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-04,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-04,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-04,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-05,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-06,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-07,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-07,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-07,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-08,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-10,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C001,2024-10,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-01,COM_FEST_019,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-01,GRO_NEED_021,Growth & Review,Need Assessment,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-01,LOY_EVT_013,"Loyalty, Rewards & Access",Customer Day / Branch Events,Branch,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-01,POL_CLM_009,Policy Journey,Claims & Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-01,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-04,COM_FEST_019,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-04,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-04,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-07,COM_FEST_019,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-07,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-07,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-10,COM_FEST_019,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-10,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-10,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-01,COM_FEST_019,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-01,ELL_FAM_001,Everyday Life & Learning,Family Engagement,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-01,GRO_CRS_023,Growth & Review,Cross-Sell,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-01,LOY_EVT_013,"Loyalty, Rewards & Access",Customer Day / Branch Events,Branch,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-01,POL_CLM_009,Policy Journey,Claims & Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-01,TRU_AWD_012,Trust & Touchpoints,Recognition & Awards,Branch,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-04,COM_FEST_019,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-04,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-07,COM_FEST_019,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-07,ELL_FAM_001,Everyday Life & Learning,Family Engagement,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-07,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-07,TRU_TRN_010,Trust & Touchpoints,Transparency Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-10,COM_FEST_019,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-10,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-01,COM_STO_020,Community & Connections,Customer Stories / Advocacy,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-01,ELL_LEARN_004,Everyday Life & Learning,Learning Community,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-01,GRO_PORT_022,Growth & Review,Portfolio Review,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-01,LOY_EVT_013,"Loyalty, Rewards & Access",Customer Day / Branch Events,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-01,POL_UPD_005,Policy Journey,Policy Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-01,TRU_AWD_012,Trust & Touchpoints,Recognition & Awards,RM Call,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-04,POL_UPD_005,Policy Journey,Policy Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-04,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-05,ELL_LEARN_004,Everyday Life & Learning,Learning Community,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-07,POL_UPD_005,Policy Journey,Policy Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-07,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-09,ELL_LEARN_004,Everyday Life & Learning,Learning Community,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-10,POL_UPD_005,Policy Journey,Policy Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-10,TRU_BTS_011,Trust & Touchpoints,Behind-the-Scenes Stories,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-01,COM_CITY_017,Community & Connections,City Milestones,Branch,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-01,ELL_LEARN_004,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-01,LOY_EVT_013,"Loyalty, Rewards & Access",Customer Day / Branch Events,Branch,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-01,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-01,TRU_TRN_010,Trust & Touchpoints,Transparency Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-02,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-03,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-04,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-04,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-05,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-06,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-07,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-07,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-07,TRU_TRN_010,Trust & Touchpoints,Transparency Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-08,ELL_FIN_002,Everyday Life & Learning,Personal Finance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-10,POL_UPD_005,Policy Journey,Policy Updates,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
