activity_id	activity_name	category	sub_category	theme	eligible_life_stages	eligible_safari_personas	persona_tone_hint	eligible_product_types	eligible_products	requires_kids	allowed_kids_age_bands	allowed_income_bands	allowed_premium_to_income_bands	allowed_city_tiers	allowed_occupation_types	allowed_renewal_buckets	exclude_if_high_surrender_pct	exclude_if_recent_surrender_attempt	exclude_if_service_flag	effort_tier_scope	business_priority	activity_value_type	allowed_channels	preferred_channel	requires_human	max_occurrences_per_year	min_gap_days_same_activity	min_gap_days_same_theme	cool_off_after_negative_voc_days	service_sensitivity_level	allowed_during_claims	output_type	output_assets	voc_capture_required	voc_capture_schema_id	variety_key	repeat_penalty_mode
ELL_FIN_002	Money_Minded_Mondays_Quiz	Everyday Life & Learning	Personal Finance	Education	Young Adult|Early Nester	Hawk|Lion	Factual_and_empowering	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	1	Quiz	WhatsApp|Email	WhatsApp	FALSE	4	30	30	30	Allowed	TRUE	Content_Push	TPL_MONEY_MINDED	TRUE	VOC_FIN_EDU	Everyday Life & Learning|Personal Finance|Education	HARD
ELL_FIN_001	Tax_Mythbusters_90s	Everyday Life & Learning	Personal Finance	Education	Young Adult|Early Nester|Mature Nester|Golden Preserver	Hawk|Lion	Factual_and_crisp	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Content	WhatsApp|Email|Portal	WhatsApp	FALSE	4	30	30	30	Allowed	TRUE	Content_Push	TPL_TAX_MYTH	TRUE	VOC_FIN_EDU	Everyday Life & Learning|Personal Finance|Education	HARD
ELL_FIN_003	Expense_Habit_Scan	Everyday Life & Learning	Personal Finance	Awareness	Young Adult|Early Nester	Hawk	Analytical_and_neutral	ANY		FALSE		ALL	LOW|MID	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Assessment	Portal|Email	Portal	FALSE	2	45	45	30	Allowed	TRUE	CTA	TPL_EXP_SCAN	TRUE	VOC_FIN_BEHAV	Everyday Life & Learning|Personal Finance|Awareness	HARD
ELL_FAM_001	Family_Finance_Planner	Everyday Life & Learning	Family Engagement	Planning	Young Adult|Early Nester|Mature Nester	Lion|Elephant|Deer|Hawk	Warm_and_practical	ANY		TRUE	0_6|7_12|13_18	ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Toolkit	WhatsApp|Email	WhatsApp	FALSE	2	45	45	30	Allowed	TRUE	Content_Push	TPL_FAM_PLANNER	TRUE	VOC_FAM_TOOL	Everyday Life & Learning|Family Engagement|Planning	HARD
ELL_FAM_002	Kids_Money_Game	Everyday Life & Learning	Family Engagement	Gamified_Learning	Early Nester|Mature Nester	Deer|Elephant	Playful_and_simple	ANY		TRUE	7_12|13_18	ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Game	WhatsApp|Portal	WhatsApp	FALSE	2	45	45	30	Allowed	TRUE	Content_Push	TPL_KIDS_GAME	TRUE	VOC_FAM_GAME	Everyday Life & Learning|Family Engagement|Gamified_Learning	HARD
ELL_LWB_001	Wellness_7_Day_Micro_Challenge	Everyday Life & Learning	Lifestyle & Well-being	Wellness	Young Adult|Early Nester|Mature Nester	Deer|Elephant	Warm_and_encouraging	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Challenge	WhatsApp|Email	WhatsApp	FALSE	3	45	45	30	Allowed	TRUE	Content_Push	TPL_WELLNESS_7D	TRUE	VOC_WELLNESS	Everyday Life & Learning|Lifestyle & Well-being|Wellness	HARD
ELL_LWB_002	Mindful_Minutes_Prompt	Everyday Life & Learning	Lifestyle & Well-being	Mental_Wellbeing	Young Adult|Early Nester	Deer	Gentle_and_supportive	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Nudge	WhatsApp|Portal	WhatsApp	FALSE	4	21	21	21	Allowed	TRUE	Content_Push	TPL_MINDFUL	TRUE	VOC_WELLNESS	Everyday Life & Learning|Lifestyle & Well-being|Mental_Wellbeing	HARD
ELL_LRN_001	Ask_the_Expert_Webinar	Everyday Life & Learning	Learning Community	Learning	Young Adult|Early Nester|Mature Nester	Lion|Deer	Premium_and_inviting	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Event_Invite	Email|WhatsApp|Portal	Email	FALSE	2	60	60	30	Allowed	TRUE	Event_Invite	TPL_WEBINAR_INV	TRUE	VOC_EVENT	Everyday Life & Learning|Learning Community|Learning	HARD
ELL_LRN_002	Monthly_MoneyTalks_Poll	Everyday Life & Learning	Learning Community	Engagement	Young Adult|Early Nester	Hawk|Deer	Light_and_interactive	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	4	Poll	WhatsApp|Portal	WhatsApp	FALSE	6	14	14	14	Allowed	TRUE	Content_Push	TPL_MONEY_POLL	TRUE	VOC_POLL	Everyday Life & Learning|Learning Community|Engagement	HARD
POL_UPD_001	Plan_at_a_Glance	Policy Journey	Policy Updates	Policy_Summary	ALL	ALL	Clear_and_confident	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	1	Servicing	Email|WhatsApp|Portal	Email	FALSE	4	60	60	30	Allowed	TRUE	Service_Update	TPL_PLAN_GLANCE	TRUE	VOC_POLICY	Policy Journey|Policy Updates|Policy_Summary	SOFT
POL_UPD_002	ULIP_Fund_Snapshot	Policy Journey	Policy Updates	Performance	ALL	Hawk|Lion	Factual_and_data_led	ULIP		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	1	Servicing	Email|Portal	Portal	FALSE	12	14	14	30	Allowed	TRUE	Service_Update	TPL_ULIP_SNAP	TRUE	VOC_POLICY	Policy Journey|Policy Updates|Performance	SOFT
POL_REN_001	Renewal_M2_Snapshot	Policy Journey	Renewals	Renewal	ALL	ALL	Clear_and_action_led	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	TRUE	All	1	Collection	WhatsApp|Email|Telecalling	WhatsApp	TRUE	2	30	30	30	Allowed	FALSE	Service_Update	TPL_REN_M2	TRUE	VOC_RENEWAL	Policy Journey|Renewals|Renewal	SOFT
POL_REN_002	Renewal_M1_Reminder	Policy Journey	Renewals	Renewal	ALL	ALL	Short_and_urgent	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	TRUE	All	1	Collection	WhatsApp|SMS|Telecalling	WhatsApp	TRUE	2	14	14	30	Allowed	FALSE	Service_Update	TPL_REN_M1	TRUE	VOC_RENEWAL	Policy Journey|Renewals|Renewal	SOFT
POL_BON_001	Bonus_Declaration_Explainer	Policy Journey	Bonus Declaration	Benefits	Mature Nester|Golden Preserver	Elephant|Deer	Reassuring_and_simple	Par|Non_Par		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Education	Email|WhatsApp	Email	FALSE	1	180	180	45	Allowed	TRUE	Content_Push	TPL_BONUS_EXPL	TRUE	VOC_BONUS	Policy Journey|Bonus Declaration|Benefits	HARD
POL_BON_002	Bonus_Appreciation_Call	Policy Journey	Bonus Declaration	Recognition	Mature Nester|Golden Preserver	Lion|Elephant	Premium_and_appreciative	Par|Non_Par		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	2	RM_Touch	Telecalling|RMVisit	Telecalling	TRUE	1	180	180	45	Allowed	TRUE	Human_Outreach	TPL_BONUS_CALL	TRUE	VOC_RM_TOUCH	Policy Journey|Bonus Declaration|Recognition	SOFT
POL_SVC_001	Service_Checkin_Call	Policy Journey	Servicing Touchpoints	Service_Hygiene	ALL	ALL	Helpful_and_crisp	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	1	Service	Telecalling	Telecalling	TRUE	2	90	90	30	Allowed	TRUE	Human_Outreach	TPL_SVC_CHECK	TRUE	VOC_SERVICE	Policy Journey|Servicing Touchpoints|Service_Hygiene	SOFT
POL_SVC_002	Quick_Service_Survey	Policy Journey	Servicing Touchpoints	Service_Hygiene	ALL	ALL	Simple_and_low_friction	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Survey	WhatsApp|Portal	WhatsApp	FALSE	4	45	45	14	Allowed	TRUE	Content_Push	TPL_SVC_SURVEY	TRUE	VOC_SERVICE	Policy Journey|Servicing Touchpoints|Service_Hygiene	SOFT
POL_CLM_001	Claims_Guidance_Checklist	Policy Journey	Claims and Assistance	Support	ALL	ALL	Clear_and_supportive	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	TRUE	All	1	Toolkit	Portal|WhatsApp	Portal	FALSE	1	365	365	90	Support_only	TRUE	Toolkit	TPL_CLAIM_GUIDE	TRUE	VOC_CLAIM	Policy Journey|Claims and Assistance|Support	SOFT
POL_CLM_002	Claim_Status_Update	Policy Journey	Claims and Assistance	Empathy	ALL	ALL	Empathetic_and_respectful	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	TRUE	All	1	Service	Email|WhatsApp	Email	FALSE	6	30	30	45	Support_only	TRUE	Service_Update	TPL_CLM_STATUS	TRUE	VOC_CLAIM	Policy Journey|Claims and Assistance|Empathy	SOFT
TRU_TRN_001	Trust_in_Numbers_Digest	Trust & Touchpoints	Transparency Updates	Proof	ALL	ALL	Credible_and_concise	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Trust	Email|Portal	Email	FALSE	4	60	60	30	Allowed	TRUE	Content_Push	TPL_TRUST_NUM	TRUE	VOC_TRUST	Trust & Touchpoints|Transparency Updates|Proof	HARD
TRU_TRN_002	Where_Your_Premium_Goes	Trust & Touchpoints	Transparency Updates	Explainer	ALL	Hawk|Elephant	Factual_and_transparent	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Education	WhatsApp|Email	WhatsApp	FALSE	3	60	60	30	Allowed	TRUE	Content_Push	TPL_PREM_GOES	TRUE	VOC_TRUST	Trust & Touchpoints|Transparency Updates|Explainer	HARD
TRU_BTS_001	Humans_of_Edelweiss	Trust & Touchpoints	Behind-the-Scenes Stories	Human_Story	ALL	Deer|Elephant	Warm_and_human	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Brand	WhatsApp|Email	WhatsApp	FALSE	4	45	45	14	Allowed	TRUE	Content_Push	TPL_HUMANS	TRUE	VOC_BRAND	Trust & Touchpoints|Behind-the-Scenes Stories|Human_Story	HARD
TRU_BTS_002	CSR_Impact_Reel	Trust & Touchpoints	Behind-the-Scenes Stories	Purpose	ALL	Lion|Deer	Inspiring_and_proud	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Brand	WhatsApp|Email|Portal	WhatsApp	FALSE	3	60	60	14	Allowed	TRUE	Content_Push	TPL_CSR_RECAP	TRUE	VOC_BRAND	Trust & Touchpoints|Behind-the-Scenes Stories|Purpose	HARD
TRU_AWD_001	Awards_and_Recognition_Update	Trust & Touchpoints	Recognition & Awards	Proof	ALL	Lion	Premium_and_confident	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Trust	Email|Portal	Email	FALSE	2	90	90	30	Allowed	TRUE	Content_Push	TPL_AWARDS	TRUE	VOC_TRUST	Trust & Touchpoints|Recognition & Awards|Proof	HARD
LOY_EVT_001	Customer_Day_Invite	Loyalty, Rewards & Access	Customer Day / Branch Events	Event	ALL	Lion|Deer	Premium_and_warm	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	2	Event	Email|WhatsApp|Branch	Email	TRUE	2	90	90	30	Allowed	TRUE	Event_Invite	TPL_CUST_DAY	TRUE	VOC_EVENT	Loyalty, Rewards & Access|Customer Day / Branch Events|Event	HARD
LOY_EVT_002	Health_Day_RSVP	Loyalty, Rewards & Access	Customer Day / Branch Events	Event	Early Nester|Mature Nester	Elephant|Deer	Caring_and_practical	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier2	3	Event	WhatsApp|Email|Branch	WhatsApp	TRUE	2	90	90	30	Allowed	TRUE	Event_Invite	TPL_HEALTH_DAY	TRUE	VOC_EVENT	Loyalty, Rewards & Access|Customer Day / Branch Events|Event	HARD
LOY_BEN_001	Partner_Benefit_Wellness	Loyalty, Rewards & Access	Exclusive Benefits	Benefit	ALL	ALL	Simple_and_value_led	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Benefit	WhatsApp|Email	WhatsApp	FALSE	4	45	45	14	Allowed	TRUE	Content_Push	TPL_BEN_WELL	TRUE	VOC_BENEFIT	Loyalty, Rewards & Access|Exclusive Benefits|Benefit	HARD
LOY_BEN_002	HNI_Travel_Benefit	Loyalty, Rewards & Access	Exclusive Benefits	Benefit	ALL	Lion	Premium_and_exclusive	ANY		FALSE		80L_PLUS	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1	2	Benefit	Email|RMVisit	Email	TRUE	2	60	60	30	Allowed	TRUE	Offer	TPL_BEN_TRAVEL	TRUE	VOC_BENEFIT	Loyalty, Rewards & Access|Exclusive Benefits|Benefit	HARD
LOY_MIL_001	Five_Year_Loyalty_Badge	Loyalty, Rewards & Access	Loyalty Milestones	Recognition	ALL	ALL	Appreciative	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Recognition	Email|WhatsApp	Email	FALSE	1	365	365	45	Allowed	TRUE	Content_Push	TPL_LOY_5Y	TRUE	VOC_LOYALTY	Loyalty, Rewards & Access|Loyalty Milestones|Recognition	HARD
LOY_MIL_002	Loyalty_Appreciation_Call	Loyalty, Rewards & Access	Loyalty Milestones	Recognition	Mature Nester|Golden Preserver	Lion|Elephant	Premium_and_respectful	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	2	RM_Touch	Telecalling|RMVisit	Telecalling	TRUE	1	365	365	45	Allowed	TRUE	Human_Outreach	TPL_LEGACY_CALL	TRUE	VOC_RM_TOUCH	Loyalty, Rewards & Access|Loyalty Milestones|Recognition	SOFT
LOY_ADV_001	Advice_Slot_Booking	Loyalty, Rewards & Access	Access to Advice	Advice	ALL	Hawk|Elephant	Clear_and_helpful	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Advice	Portal|Email	Portal	TRUE	1	180	180	30	Allowed	TRUE	CTA	TPL_BOOK_SLOT	TRUE	VOC_ADVICE	Loyalty, Rewards & Access|Access to Advice|Advice	SOFT
LOY_ADV_002	Expert_Session_Invite	Loyalty, Rewards & Access	Access to Advice	Advice	ALL	Lion|Hawk	Premium_and_data_led	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	2	Event	Email|Portal|Webinar	Email	FALSE	2	90	90	30	Allowed	TRUE	Event_Invite	TPL_EXPERT_INV	TRUE	VOC_EVENT	Loyalty, Rewards & Access|Access to Advice|Advice	HARD
COM_CITY_001	City_Milestone_Thank_You	Community & Connections	City Milestones	Belonging	ALL	Deer|Elephant	Warm_and_inclusive	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Brand	WhatsApp|Email	WhatsApp	FALSE	1	365	365	14	Allowed	TRUE	Content_Push	TPL_CITY_MILE	TRUE	VOC_COMMUNITY	Community & Connections|City Milestones|Belonging	HARD
COM_CITY_002	City_Milestone_Event	Community & Connections	City Milestones	Event	ALL	Lion|Deer	Proud_and_inviting	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	2	Event	Email|Branch	Email	TRUE	1	365	365	30	Allowed	TRUE	Event_Invite	TPL_CITY_EVENT	TRUE	VOC_EVENT	Community & Connections|City Milestones|Event	HARD
COM_PROD_001	Product_Milestone_Infographic	Community & Connections	Product Milestones	Pride	ALL	Lion	Proud_and_premium	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Brand	Email|Portal	Email	FALSE	2	180	180	14	Allowed	TRUE	Content_Push	TPL_PROD_MILE	TRUE	VOC_COMMUNITY	Community & Connections|Product Milestones|Pride	HARD
COM_PROD_002	Customer_Testimonial_Spotlight	Community & Connections	Product Milestones	Advocacy	ALL	Deer	Warm_and_celebratory	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Brand	WhatsApp|Email	WhatsApp	FALSE	2	180	180	14	Allowed	TRUE	Content_Push	TPL_TESTIMONIAL	TRUE	VOC_COMMUNITY	Community & Connections|Product Milestones|Advocacy	HARD
COM_FEST_001	Regional_Festival_Greeting	Community & Connections	Festivals & Celebrations	Regional	ALL	ALL	Local_and_warm	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Greeting	WhatsApp|Email	WhatsApp	FALSE	4	45	45	14	Allowed	TRUE	Content_Push	TPL_FEST_GREET	TRUE	VOC_FEST	Community & Connections|Festivals & Celebrations|Regional	HARD
COM_FEST_002	Festival_Protection_Campaign	Community & Connections	Festivals & Celebrations	Campaign	ALL	Lion|Elephant	Proud_and_reassuring	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Campaign	WhatsApp|Email|Telecalling	WhatsApp	TRUE	2	60	60	30	Allowed	TRUE	Campaign	TPL_FEST_PROT	TRUE	VOC_FEST	Community & Connections|Festivals & Celebrations|Campaign	HARD
COM_STO_001	My_Journey_Story_Prompt	Community & Connections	Customer Stories / Advocacy	Advocacy	ALL	Lion|Deer	Inviting_and_celebratory	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	UGC	Portal|Email|WhatsApp	Portal	FALSE	1	365	365	14	Allowed	TRUE	CTA	TPL_VIDEO_STORY	TRUE	VOC_ADVOCACY	Community & Connections|Customer Stories / Advocacy|Advocacy	HARD
COM_STO_002	Referral_Thank_You_Wall	Community & Connections	Customer Stories / Advocacy	Recognition	ALL	Lion	Premium_and_appreciative	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	3	Recognition	Portal|Email	Portal	FALSE	2	180	180	14	Allowed	TRUE	Content_Push	TPL_REF_WALL	TRUE	VOC_ADVOCACY	Community & Connections|Customer Stories / Advocacy|Recognition	HARD
GRW_NA_001	Need_Reassessment_Warmup	Growth & Review	Need Assessment	Advisory	ALL	ALL	Curious_and_helpful	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	1	Advisory	WhatsApp|Email|Telecalling	WhatsApp	TRUE	1	540	180	30	Allowed	TRUE	CTA	TPL_REASSESS_W1	TRUE	VOC_NEED	Growth & Review|Need Assessment|Advisory	SOFT
GRW_NA_002	Need_Analysis_Booking	Growth & Review	Need Assessment	Advisory	ALL	Hawk|Elephant	Clear_and_low_friction	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	1	Advisory	Portal|Email|Telecalling	Portal	TRUE	1	540	180	30	Allowed	TRUE	CTA	TPL_NA_BOOK	TRUE	VOC_NEED	Growth & Review|Need Assessment|Advisory	SOFT
GRW_PR_001	Annual_Portfolio_Snapshot	Growth & Review	Portfolio Review	Performance	ALL	Hawk	Factual_and_dashboard	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	2	Report	Portal|Email	Portal	FALSE	1	365	180	30	Allowed	TRUE	Report	TPL_REPORT_CARD	TRUE	VOC_REVIEW	Growth & Review|Portfolio Review|Performance	HARD
GRW_PR_002	RM_Portfolio_Review_Call	Growth & Review	Portfolio Review	Advisory	ALL	Elephant|Deer	Reassuring_and_guided	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	2	Advisory	Telecalling|RMVisit	Telecalling	TRUE	1	365	180	30	Allowed	TRUE	Human_Outreach	TPL_REVIEW_CALL	TRUE	VOC_REVIEW	Growth & Review|Portfolio Review|Advisory	SOFT
GRW_XS_001	Gap_Fit_Recommendation	Growth & Review	Cross-Sell	Recommendation	ALL	Lion|Hawk	Crisp_and_benefit_led	ANY		FALSE		ALL	LOW|MID	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1	2	Offer	Email|WhatsApp	Email	FALSE	2	120	120	30	Allowed	TRUE	Offer	TPL_GAP_FIT	TRUE	VOC_XSELL	Growth & Review|Cross-Sell|Recommendation	HARD
GRW_XS_002	Spouse_Protection_Addon	Growth & Review	Cross-Sell	Protection	Early Nester|Mature Nester	Elephant|Deer	Warm_and_family_first	ANY		TRUE	7_12|13_18	ALL	LOW|MID	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	2	Offer	WhatsApp|Telecalling	WhatsApp	TRUE	2	120	120	30	Allowed	TRUE	Offer	TPL_SPOUSE_PROT	TRUE	VOC_XSELL	Growth & Review|Cross-Sell|Protection	HARD
GRW_LEG_001	Passing_It_Forward_Series	Growth & Review	Legacy Planning	Legacy	Mature Nester|Golden Preserver	Lion|Elephant	Respectful_and_premium	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	2	Content	Email|WhatsApp	Email	FALSE	2	180	180	30	Allowed	TRUE	Content_Push	TPL_LEGACY_SER	TRUE	VOC_LEGACY	Growth & Review|Legacy Planning|Legacy	HARD
GRW_LEG_002	Estate_Planning_Workshop	Growth & Review	Legacy Planning	Legacy	Golden Preserver	Lion|Elephant	Respectful_and_inviting	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1	2	Event	Email|Branch|Webinar	Email	TRUE	1	365	365	30	Allowed	TRUE	Event_Invite	TPL_ESTATE_WS	TRUE	VOC_EVENT	Growth & Review|Legacy Planning|Legacy	HARD
MAT_T3_001	Maturity_T3_Goal_Nudge	Maturity	T-3 Months	Transition	ALL	ALL	Clear_and_supportive	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	1	Service	WhatsApp|Email|Telecalling	WhatsApp	TRUE	1	365	365	45	Allowed	TRUE	Service_Update	TPL_MAT_T3	TRUE	VOC_MATURITY	Maturity|T-3 Months|Transition	SOFT
MAT_T3_002	Maturity_T3_Options_Snapshot	Maturity	T-3 Months	Transition	ALL	Hawk	Factual_and_options_led	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	1	Report	Portal|Email	Portal	FALSE	1	365	365	45	Allowed	TRUE	Report	TPL_MAT_OPT	TRUE	VOC_MATURITY	Maturity|T-3 Months|Transition	SOFT
MAT_T2_001	Maturity_Reinvestment_Preview	Maturity	T-2 & T-1 Months	Reinvest	ALL	Lion|Elephant	Premium_and_reassuring	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	1	Offer	Email|WhatsApp|Telecalling	Email	TRUE	1	365	365	45	Allowed	TRUE	Offer	TPL_REINV_PREV	TRUE	VOC_MATURITY	Maturity|T-2 & T-1 Months|Reinvest	SOFT
MAT_T2_002	Maturity_Final_Call	Maturity	T-2 & T-1 Months	Reinvest	ALL	ALL	Short_and_action_led	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	1	Service	Telecalling	Telecalling	TRUE	1	365	365	45	Allowed	TRUE	Human_Outreach	TPL_MAT_CALL	TRUE	VOC_MATURITY	Maturity|T-2 & T-1 Months|Reinvest	SOFT
MAT_DAY_001	Maturity_Day_Celebration_Kit	Maturity	Maturity Date	Celebration	ALL	Lion|Deer	Proud_and_warm	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	1	RM_Touch	Branch|RMVisit	Branch	TRUE	1	365	365	60	Allowed	TRUE	Human_Outreach	TPL_MAT_KIT	TRUE	VOC_MATURITY	Maturity|Maturity Date|Celebration	SOFT
MAT_DAY_002	Maturity_Day_Event_Invite	Maturity	Maturity Date	Celebration	ALL	Lion|Deer	Inviting_and_celebratory	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	2	Event	Email|Branch	Email	TRUE	1	365	365	60	Allowed	TRUE	Event_Invite	TPL_MAT_EVENT	TRUE	VOC_EVENT	Maturity|Maturity Date|Celebration	SOFT
MAT_POST_001	Post_Maturity_Next_Steps	Maturity	Post-Maturity	Next_Steps	ALL	Hawk|Elephant	Clear_and_helpful	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	All	1	Education	Portal|Email	Portal	FALSE	1	365	365	45	Allowed	TRUE	CTA	TPL_POST_NEXT	TRUE	VOC_MATURITY	Maturity|Post-Maturity|Next_Steps	SOFT
MAT_POST_002	Post_Maturity_Reinvestment_Call	Maturity	Post-Maturity	Next_Steps	ALL	ALL	Consultative_and_respectful	ANY		FALSE		ALL	ALL	ALL	ALL	ALL	FALSE	FALSE	FALSE	Tier1|Tier2	1	Advisory	Telecalling|RMVisit	Telecalling	TRUE	1	365	365	45	Allowed	TRUE	Human_Outreach	TPL_POST_CALL	TRUE	VOC_MATURITY	Maturity|Post-Maturity|Next_Steps	SOFT
